Name,Link,Image URL,Description,Type,Height (m),Weight (kg),Species,HP,Attack,Defense,Special Attack,Special Defense,Speed
Rapidash,https://pokemondb.net/pokedex/rapidash,https://img.pokemondb.net/artwork/rapidash.jpg,"Just loves to run. If it sees some­ thing faster than itself, it will give chase at top speed. At full gallop, its four hooves barely touch the ground because it moves so incredi­ bly fast. Very competitive, this POKéMON will chase anything that moves fast in the hopes of racing it.",Fire,1.7000000000000002,95.0,Fire Horse Pokémon,65,100,70,80,80,105
Slowpoke,https://pokemondb.net/pokedex/slowpoke,https://img.pokemondb.net/artwork/slowpoke.jpg,Incredibly slow and dopey. It takes 5 seconds for it to feel pain when under attack. Incredibly slow and sluggish. It is quite content to loll about without worrying about the time.,"Water, Psychic",1.2000000000000002,36.0,Dopey Pokémon,90,65,65,40,40,15
Slowbro,https://pokemondb.net/pokedex/slowbro,https://img.pokemondb.net/artwork/slowbro.jpg,"The SHELLDER that is latched onto SLOWPOKE's tail is said to feed on the host's left over scraps. If the tail-biting SHELLDER is thrown off in a harsh battle, it reverts to being an ordi­ nary SLOWPOKE. Lives lazily by the sea. If the SHELLDER on its tail comes off, it becomes a SLOWPOKE again.","Water, Psychic",1.6,78.5,Hermit Crab Pokémon,95,75,110,100,80,30
Magnemite,https://pokemondb.net/pokedex/magnemite,https://img.pokemondb.net/artwork/magnemite.jpg,Uses anti-gravity to stay suspended. Appears without warning and uses THUNDER WAVE and similar moves. It is born with the ability to defy gravity. It floats in air on powerful electro­ magnetic waves.,"Electric, Steel",0.30000000000000004,6.0,Magnet Pokémon,25,35,70,95,55,45
Magneton,https://pokemondb.net/pokedex/magneton,https://img.pokemondb.net/artwork/magneton.jpg,"Generates strange radio signals. It raises the tem­ perature by 3.6F degrees within 3,300 feet. Formed by several MAGNEMITEs linked together. They frequently appear when sunspots flare up.","Electric, Steel",1.0,60.0,Magnet Pokémon,50,60,95,120,70,70
Farfetchd,https://pokemondb.net/pokedex/farfetchd,https://img.pokemondb.net/artwork/farfetchd.jpg,"Lives where reedy plants grow. They are rarely seen, so it's thought their numbers are decreasing. The sprig of green onions it holds is its weapon. It is used much like a metal sword.","Normal, Flying",0.8,15.0,Wild Duck Pokémon,52,90,55,58,62,60
Doduo,https://pokemondb.net/pokedex/doduo,https://img.pokemondb.net/artwork/doduo.jpg,"A bird that makes up for its poor flying with its fast foot speed. Leaves giant footprints. Its short wings make flying dif­ ficult. Instead, this POKéMON runs at high speed on developed legs.","Normal, Flying",1.4000000000000001,39.2,Twin Bird Pokémon,35,85,45,35,35,75
Dodrio,https://pokemondb.net/pokedex/dodrio,https://img.pokemondb.net/artwork/dodrio.jpg,"One of DODUO's 2 heads splits to form a unique species. It runs close to 40 MPH in prairies. Uses its three brains to execute complex plans. While two heads sleep, one head stays awake.","Normal, Flying",1.8,85.2,Triple Bird Pokémon,60,110,70,60,60,110
Seel,https://pokemondb.net/pokedex/seel,https://img.pokemondb.net/artwork/seel.jpg,Loves freezing cold conditions. Relishes swimming in a frigid cli­ mate of around 14F degrees. The protruding horn on its head is very hard. It is used for bashing through thick ice.,Water,1.1,90.0,Sea Lion Pokémon,65,45,55,45,70,45
Dewgong,https://pokemondb.net/pokedex/dewgong,https://img.pokemondb.net/artwork/dewgong.jpg,"Its entire body is a snowy-white. Unharmed by even intense cold, it swims powerfully in icy waters. Stores thermal energy in its body. Swims at a steady 8 knots even in intensely cold waters.","Water, Ice",1.7000000000000002,120.0,Sea Lion Pokémon,90,70,80,70,95,70
Grimer,https://pokemondb.net/pokedex/grimer,https://img.pokemondb.net/artwork/grimer.jpg,Appears in filthy areas. Thrives by sucking up polluted sludge that is pumped out of factories. Made of hardened sludge. It smells too putrid to touch. Even weeds won't grow in its path.,Poison,0.9,30.0,Sludge Pokémon,80,80,50,40,50,25
Muk,https://pokemondb.net/pokedex/muk,https://img.pokemondb.net/artwork/muk.jpg,"Thickly covered with a filthy, vile sludge. It is so toxic, even its footprints contain poison. Smells so awful, it can cause fainting. Through degeneration, it lost its sense of smell.",Poison,1.2000000000000002,30.0,Sludge Pokémon,105,105,75,65,100,50
Shellder,https://pokemondb.net/pokedex/shellder,https://img.pokemondb.net/artwork/shellder.jpg,"The shell can withstand any attack. However, when it is open, the tender body is exposed. Its hard shell repels any kind of attack. It is vulnerable only when its shell is open.",Water,0.30000000000000004,4.0,Bivalve Pokémon,30,65,100,45,25,40
Cloyster,https://pokemondb.net/pokedex/cloyster,https://img.pokemondb.net/artwork/cloyster.jpg,"For protection, it uses its harder- than-diamonds shell. It also shoots spikes from the shell. When attacked, it launches its horns in quick volleys. Its innards have never been seen.","Water, Ice",1.5,132.5,Bivalve Pokémon,50,95,180,85,45,70
Gastly,https://pokemondb.net/pokedex/gastly,https://img.pokemondb.net/artwork/gastly.jpg,"With its gas-like body, it can sneak into any place it desires. However, it can be blown away by wind. Said to appear in decrepit, deserted buildings. It has no real shape as it appears to be made of a gas. Almost invisible, this gaseous POKéMON cloaks the target and puts it to sleep without notice.","Ghost, Poison",1.3,0.1,Gas Pokémon,30,35,30,100,35,80
Haunter,https://pokemondb.net/pokedex/haunter,https://img.pokemondb.net/artwork/haunter.jpg,"By licking, it saps the victim's life. It causes shaking that won't stop until the victim's demise. In total darkness, where nothing is visible, HAUNTER lurks, silently stalking its next victim. Because of its ability to slip through block walls, it is said to be from an­ other dimension.","Ghost, Poison",1.6,0.1,Gas Pokémon,45,50,45,115,55,95
Gengar,https://pokemondb.net/pokedex/gengar,https://img.pokemondb.net/artwork/gengar.jpg,"It steals heat from its surround­ ings. If you feel a sudden chill, it is certain that a GENGAR appeared. A GENGAR is close by if you feel a sudden chill. It may be trying to lay a curse on you. Under a full moon, this POKéMON likes to mimic the shadows of people and laugh at their fright.","Ghost, Poison",1.5,40.5,Shadow Pokémon,60,65,60,130,75,110
Onix,https://pokemondb.net/pokedex/onix,https://img.pokemondb.net/artwork/onix.jpg,"Burrows at high speed in search of food. The tunnels it leaves are used as homes by DIGLETTs. As it grows, the stone portions of its body harden to become similar to a diamond, but colored black. It twists and squirms through the ground. The thunderous roar of its tunneling echoes a long way.","Rock, Ground",8.8,210.0,Rock Snake Pokémon,35,45,160,30,45,70
Drowzee,https://pokemondb.net/pokedex/drowzee,https://img.pokemondb.net/artwork/drowzee.jpg,"If you sleep by it all the time, it will sometimes show you dreams it has eaten in the past. Puts enemies to sleep then eats their dreams. Occasionally gets sick from eating bad dreams.",Psychic,1.0,32.4,Hypnosis Pokémon,60,48,45,43,90,42
Hypno,https://pokemondb.net/pokedex/hypno,https://img.pokemondb.net/artwork/hypno.jpg,"Avoid eye contact if you come across one. It will try to put you to sleep by using its pendulum. When it locks eyes with an enemy, it will use a mix of PSI moves such as HYPNOSIS and CONFUSION. When it is very hungry, it puts humans it meets to sleep, then it feasts on their dreams.",Psychic,1.6,75.60000000000001,Hypnosis Pokémon,85,73,70,73,115,67
Krabby,https://pokemondb.net/pokedex/krabby,https://img.pokemondb.net/artwork/krabby.jpg,"If it senses dan­ ger approaching, it cloaks itself with bubbles from its mouth so it will look bigger. Its pincers are not only powerful weapons, they are used for balance when walking sideways. Its pincers are superb weapons. They sometimes break off during battle, but they grow back fast.",Water,0.4,6.5,River Crab Pokémon,30,105,90,25,25,50
Kingler,https://pokemondb.net/pokedex/kingler,https://img.pokemondb.net/artwork/kingler.jpg,"The large pincer has 10000 hp of crushing power. However, its huge size makes it unwieldy to use. One claw grew massively and as hard as steel. It has 10,000-HP strength. However, it is too heavy.",Water,1.3,60.0,Pincer Pokémon,55,130,115,50,50,75
Voltorb,https://pokemondb.net/pokedex/voltorb,https://img.pokemondb.net/artwork/voltorb.jpg,"It is said to camouflage itself as a POKé BALL. It will self-destruct with very little stimulus. Usually found in power plants. Easily mistaken for a POKé BALL, they have zapped many people.",Electric,0.5,10.4,Ball Pokémon,40,30,50,55,55,100
Electrode,https://pokemondb.net/pokedex/electrode,https://img.pokemondb.net/artwork/electrode.jpg,It stores electric energy under very high pressure. It often explodes with little or no provocation. Stores electrical energy inside its body. Even the slightest shock could trigger a huge explosion.,Electric,1.2000000000000002,66.60000000000001,Ball Pokémon,60,50,70,80,80,150
Exeggcute,https://pokemondb.net/pokedex/exeggcute,https://img.pokemondb.net/artwork/exeggcute.jpg,"The heads attract each other and spin around. There must be 6 heads for it to maintain balance. Often mistaken for eggs. When disturbed, they quickly gather and attack in swarms.","Grass, Psychic",0.4,2.5,Egg Pokémon,60,40,80,60,45,40
Exeggutor,https://pokemondb.net/pokedex/exeggutor,https://img.pokemondb.net/artwork/exeggutor.jpg,"Legend has it that on rare occasions, one of its heads will drop off and continue on as an EXEGGCUTE. Its three heads think independent­ ly. However, they are friendly and never appear to squabble. Its cries are very noisy. This is because each of the 3 heads thinks about whatever it likes.","Grass, Psychic",2.0,120.0,Coconut Pokémon,95,95,85,125,75,55
Cubone,https://pokemondb.net/pokedex/cubone,https://img.pokemondb.net/artwork/cubone.jpg,"Because it never removes its skull helmet, no one has ever seen this POKéMON's real face. If it is sad or lonely, the skull it wears shakes, and emits a plain­ tive and mournful sound. Wears the skull of its deceased mother. Its cries echo inside the skull and come out as a sad melody.",Ground,0.4,6.5,Lonely Pokémon,50,50,95,40,50,35
Marowak,https://pokemondb.net/pokedex/marowak,https://img.pokemondb.net/artwork/marowak.jpg,"Small and weak, this POKéMON is adept with its bone club. It has grown more vicious over the ages. The bone it holds is its key weapon. It throws the bone skillfully like a boomerang to KO targets.",Ground,1.0,45.0,Bone Keeper Pokémon,60,80,110,50,80,45
Hitmonlee,https://pokemondb.net/pokedex/hitmonlee,https://img.pokemondb.net/artwork/hitmonlee.jpg,"When in a hurry, its legs lengthen progressively. It runs smoothly with extra long, loping strides. When kicking, the sole of its foot turns as hard as a diamond on im­ pact and destroys its enemy.",Fighting,1.5,49.800000000000004,Kicking Pokémon,50,120,53,35,110,87
Hitmonchan,https://pokemondb.net/pokedex/hitmonchan,https://img.pokemondb.net/artwork/hitmonchan.jpg,"While apparently doing nothing, it fires punches in lightning fast volleys that are impossible to see. Its punches slice the air. However, it seems to need a short break after fighting for three minutes. Punches in cork­ screw fashion. It can punch its way through a concrete wall in the same way as a drill.",Fighting,1.4000000000000001,50.2,Punching Pokémon,50,105,79,35,110,76
Lickitung,https://pokemondb.net/pokedex/lickitung,https://img.pokemondb.net/artwork/lickitung.jpg,Its tongue can be extended like a chameleon's. It leaves a tingling sensation when it licks enemies. Its tongue spans almost 7 feet and moves more freely than its forelegs. Its licks can cause paralysis.,Normal,1.2000000000000002,65.5,Licking Pokémon,90,55,75,60,75,30
Koffing,https://pokemondb.net/pokedex/koffing,https://img.pokemondb.net/artwork/koffing.jpg,"Because it stores several kinds of toxic gases in its body, it is prone to exploding without warning. The poisonous gases it contains are a little bit lighter than air, keeping it slight­ ly airborne. Its thin, filmy body is filled with gases that cause constant sniffles, coughs and teary eyes. In hot places, its internal gases could expand and explode without any warning. Be very careful!",Poison,0.6000000000000001,1.0,Poison Gas Pokémon,40,65,95,60,45,35
Weezing,https://pokemondb.net/pokedex/weezing,https://img.pokemondb.net/artwork/weezing.jpg,"Where two kinds of poison gases meet, 2 KOFFINGs can fuse into a WEEZING over many years. It lives and grows by absorbing dust, germs and poison gases that are contained in toxic waste and garbage. If one of the twin KOFFING inflates, the other one deflates. It con­ stantly mixes its poisonous gases.",Poison,1.2000000000000002,9.5,Poison Gas Pokémon,65,90,120,85,70,60
Rhyhorn,https://pokemondb.net/pokedex/rhyhorn,https://img.pokemondb.net/artwork/rhyhorn.jpg,"Its massive bones are 1000 times harder than human bones. It can easily knock a trailer flying. A POKéMON with a one-track mind. Once it charges, it won't stop running until it falls asleep.","Ground, Rock",1.0,115.0,Spikes Pokémon,80,85,95,30,30,25
Rhydon,https://pokemondb.net/pokedex/rhydon,https://img.pokemondb.net/artwork/rhydon.jpg,"Walks on its hind legs. Shows signs of intelligence. Its armor-like hide even repels molten lava. Protected by an armor-like hide, it is capable of living in molten lava of 3,600 degrees.","Ground, Rock",1.9000000000000001,120.0,Drill Pokémon,105,130,120,45,45,40
Chansey,https://pokemondb.net/pokedex/chansey,https://img.pokemondb.net/artwork/chansey.jpg,"It walks carefully to prevent its egg from breaking. However, it is extremely fast at running away. A rare and elusive POKéMON that is said to bring happiness to those who manage to get it. A gentle and kind­ hearted POKéMON that shares its nutritious eggs if it sees an injured POKéMON.",Normal,1.1,34.6,Egg Pokémon,250,5,5,35,105,50
Tangela,https://pokemondb.net/pokedex/tangela,https://img.pokemondb.net/artwork/tangela.jpg,"Its identity is obscured by masses of thick, blue vines. The vines are said to never stop growing. The whole body is swathed with wide vines that are similar to sea­ weed. Its vines shake as it walks.",Grass,1.0,35.0,Vine Pokémon,65,55,115,100,40,60
Kangaskhan,https://pokemondb.net/pokedex/kangaskhan,https://img.pokemondb.net/artwork/kangaskhan.jpg,"The infant rarely ventures out of its mother's protective pouch until it is 3 years old. Raises its young in its belly pouch. Won't run from any fight to keep its young protected. If it is safe, the young gets out of the belly pouch to play. The adult keeps a close eye on the youngster.",Normal,2.2,80.0,Parent Pokémon,105,95,80,40,80,90
Horsea,https://pokemondb.net/pokedex/horsea,https://img.pokemondb.net/artwork/horsea.jpg,"Its big, developed fins move rapidly, allowing it to swim backward while still facing forward. If it senses any danger, it will vigorously spray water or a special type of ink from its mouth. Known to shoot down flying bugs with precision blasts of ink from the surface of the water. If attacked by a larger enemy, it quickly swims to safety by adeptly controlling its dorsal fin.",Water,0.4,8.0,Dragon Pokémon,30,40,70,70,25,60
Seadra,https://pokemondb.net/pokedex/seadra,https://img.pokemondb.net/artwork/seadra.jpg,Capable of swim­ ming backwards by rapidly flapping its wing-like pectoral fins and stout tail. Touching the back fin causes numb­ ness. It hooks its tail to coral to stay in place while sleeping. An examination of its cells revealed the presence of a gene not found in HORSEA. It became a hot topic.,Water,1.2000000000000002,25.0,Dragon Pokémon,55,65,95,95,45,85
Goldeen,https://pokemondb.net/pokedex/goldeen,https://img.pokemondb.net/artwork/goldeen.jpg,"Its dorsal, pecto­ ral and tail fins wave elegantly in water. That is why it is known as the water dancer. Its tail fin billows like an elegant ballroom dress, giving it the nickname of the Water Queen. When it is time for them to lay eggs, they can be seen swimming up rivers and falls in large groups.",Water,0.6000000000000001,15.0,Goldfish Pokémon,45,67,60,35,50,63
Seaking,https://pokemondb.net/pokedex/seaking,https://img.pokemondb.net/artwork/seaking.jpg,"In the autumn spawning season, they can be seen swimming powerfully up rivers and creeks. In the autumn spawning season, they can be seen swimming power­ fully up rivers and creeks. It is the male's job to make a nest by carving out boulders in a stream using the horn on its head. During spawning season, SEAKING gather from all over, coloring the rivers a brilliant red.",Water,1.3,39.0,Goldfish Pokémon,80,92,65,65,80,68
Staryu,https://pokemondb.net/pokedex/staryu,https://img.pokemondb.net/artwork/staryu.jpg,"If its body is torn, it can grow back if the red core remains. The core flashes at midnight. An enigmatic POKéMON that can effortlessly regenerate any appendage it loses in battle. As long as the center section is unharmed, it can grow back fully even if it is chopped to bits.",Water,0.8,34.5,Star Shape Pokémon,30,45,55,70,55,85
Starmie,https://pokemondb.net/pokedex/starmie,https://img.pokemondb.net/artwork/starmie.jpg,The center section is named the core. People think it is communicating when it glows in 7 colors. Its central core glows with the seven colors of the rainbow. Some people value the core as a gem.,"Water, Psychic",1.1,80.0,Mysterious Pokémon,60,75,85,100,85,115
Mr-mime,https://pokemondb.net/pokedex/mr-mime,https://img.pokemondb.net/artwork/mr-mime.jpg,"A skilled mime from birth, it gains the ability to create invisi­ ble objects as it matures. Always practices its pantomime act. It makes enemies believe something exists that really doesn't. If interrupted while it is miming, it will slap around the offender with its broad hands.","Psychic, Fairy",1.3,54.5,Barrier Pokémon,40,45,65,100,120,90
Scyther,https://pokemondb.net/pokedex/scyther,https://img.pokemondb.net/artwork/scyther.jpg,"With ninja-like agility and speed, it can create the illusion that there is more than one. Leaps out of tall grass and slices prey with its scythes. The move­ ment looks like that of a ninja. It slashes through grass with its sharp scythes, moving too fast for the human eye to track.","Bug, Flying",1.5,56.0,Mantis Pokémon,70,110,80,55,80,105
Jynx,https://pokemondb.net/pokedex/jynx,https://img.pokemondb.net/artwork/jynx.jpg,"It seductively wiggles its hips as it walks. It can cause people to dance in unison with it. Appears to move to a rhythm of its own, as if it were dancing. It wiggles its hips as it walks.","Ice, Psychic",1.4000000000000001,40.6,Human Shape Pokémon,65,50,35,115,95,95
Electabuzz,https://pokemondb.net/pokedex/electabuzz,https://img.pokemondb.net/artwork/electabuzz.jpg,"If a major power outage occurs, it is certain that this POKéMON has eaten electricity at a power plant. Normally found near power plants, they can wander away and cause major blackouts in cities. Electricity runs across the surface of its body. In darkness, its en­ tire body glows a whitish-blue.",Electric,1.1,30.0,Electric Pokémon,65,83,57,95,85,105
Magmar,https://pokemondb.net/pokedex/magmar,https://img.pokemondb.net/artwork/magmar.jpg,"Its body always burns with an orange glow that enables it to hide perfectly among flames. Born in an active volcano. Its body is always cloaked in flames, so it looks like a big ball of fire. It dislikes cold places, so it blows scorching flames to make the environment suit­ able for itself.",Fire,1.3,44.5,Spitfire Pokémon,65,95,57,100,85,93
Pinsir,https://pokemondb.net/pokedex/pinsir,https://img.pokemondb.net/artwork/pinsir.jpg,"With its horns, it digs burrows to sleep in at night. In the morning, damp soil clings to its body. Grips its prey in its pincers and squeezes hard! It can't move if it's cold, so it lives in warm places. If it fails to crush the victim in its pincers, it will swing it around and toss it hard.",Bug,1.5,55.0,Stag Beetle Pokémon,65,125,100,55,70,85
Tauros,https://pokemondb.net/pokedex/tauros,https://img.pokemondb.net/artwork/tauros.jpg,"A rowdy POKéMON with a lot of stamina. Once running, it won't stop until it hits something. When it targets an enemy, it charges furiously while whipping its body with its long tails. They fight each other by locking horns. The herd's protector takes pride in its bat­ tle-scarred horns.",Normal,1.4000000000000001,88.4,Wild Bull Pokémon,75,100,95,40,70,110
Magikarp,https://pokemondb.net/pokedex/magikarp,https://img.pokemondb.net/artwork/magikarp.jpg,"An underpowered, pathetic POKéMON. It may jump high on rare occasions, but never more than seven feet. Famous for being very unreliable. It can be found swimming in seas, lakes, rivers and shallow puddles. In the distant past, it was somewhat stronger than the horribly weak descendants that exist today.",Water,0.9,10.0,Fish Pokémon,20,10,55,15,20,80
Gyarados,https://pokemondb.net/pokedex/gyarados,https://img.pokemondb.net/artwork/gyarados.jpg,"They say that during past strife, GYARADOS would appear and leave blazing ruins in its wake. Once it begins to rampage, a GYARADOS will burn everything down, even in a harsh storm. Rarely seen in the wild. Huge and vicious, it is capable of destroying entire cities in a rage.","Water, Flying",6.5,235.0,Atrocious Pokémon,95,125,79,60,100,81
Lapras,https://pokemondb.net/pokedex/lapras,https://img.pokemondb.net/artwork/lapras.jpg,A POKéMON that has been over­ hunted almost to extinction. It can ferry people across the water. A gentle soul that can read the minds of people. It can ferry people across the sea on its back.,"Water, Ice",2.5,220.0,Transport Pokémon,130,85,80,85,95,60
Ditto,https://pokemondb.net/pokedex/ditto,https://img.pokemondb.net/artwork/ditto.jpg,"When it spots an enemy, its body transfigures into an almost perfect copy of its oppo­ nent. Capable of copying an enemy's genetic code to instantly transform itself into a duplicate of the enemy. It can transform into anything. When it sleeps, it changes into a stone to avoid being attacked.",Normal,0.30000000000000004,4.0,Transform Pokémon,48,48,48,48,48,48
Eevee,https://pokemondb.net/pokedex/eevee,https://img.pokemondb.net/artwork/eevee.jpg,"Its genetic code is unstable, so it could evolve in a variety of ways. There are only a few alive. Its genetic code is irregular. It may mutate if it is exposed to radiation from element STONEs.",Normal,0.30000000000000004,6.5,Evolution Pokémon,55,55,50,45,65,55
Vaporeon,https://pokemondb.net/pokedex/vaporeon,https://img.pokemondb.net/artwork/vaporeon.jpg,Its cell structure is similar to water molecules. It will melt away and become invis­ ible in water. Lives close to water. Its long tail is ridged with a fin which is often mistaken for a mermaid's.,Water,1.0,29.0,Bubble Jet Pokémon,130,65,60,110,95,65
Jolteon,https://pokemondb.net/pokedex/jolteon,https://img.pokemondb.net/artwork/jolteon.jpg,"It accumulates negative ions in the atmosphere to blast out 10000- volt lightning bolts. It concentrates the weak electric charges emitted by its cells and launches wicked lightning bolts. A sensitive POKé­ MON that easily becomes sad or angry. Every time its mood changes, it charges power.",Electric,0.8,24.5,Lightning Pokémon,65,65,60,110,95,130
Flareon,https://pokemondb.net/pokedex/flareon,https://img.pokemondb.net/artwork/flareon.jpg,"It has a flame chamber inside its body. It inhales, then blows out fire that is over 3,000F degrees. When storing thermal energy in its body, its temperature could soar to over 1600 degrees. It stores some of the air it inhales in its internal flame pouch, which heats it to over 3,000 degrees.",Fire,0.9,25.0,Flame Pokémon,65,130,60,95,110,65
Porygon,https://pokemondb.net/pokedex/porygon,https://img.pokemondb.net/artwork/porygon.jpg,"A POKéMON that consists entirely of programming code. Capable of moving freely in cyberspace. The only POKéMON people anticipate can fly into space. None has managed the feat yet, however.",Normal,0.8,36.5,Virtual Pokémon,65,60,70,85,75,40
Omanyte,https://pokemondb.net/pokedex/omanyte,https://img.pokemondb.net/artwork/omanyte.jpg,"An ancient POKéMON that was recovered from a fossil. It swims by cleverly twisting its 10 tentacles about. Revived from an ancient fossil, this POKéMON uses air stored in its shell to sink and rise in water. Although long extinct, in rare cases, it can be genetically resurrected from fossils.","Rock, Water",0.4,7.5,Spiral Pokémon,35,40,100,90,55,35
Omastar,https://pokemondb.net/pokedex/omastar,https://img.pokemondb.net/artwork/omastar.jpg,"Apparently, it cracked SHELLDER's shell with its sharp fangs and sucked out the insides. A prehistoric POKéMON that died out when its heavy shell made it impossible to catch prey. Sharp beaks ring its mouth. Its shell was too big for it to move freely, so it became extinct.","Rock, Water",1.0,35.0,Spiral Pokémon,70,60,125,115,70,55
Kabuto,https://pokemondb.net/pokedex/kabuto,https://img.pokemondb.net/artwork/kabuto.jpg,"On rare occasions, some have been found as fossils which they became while hiding on the ocean floor. A POKéMON that was resurrected from a fossil found in what was once the ocean floor eons ago. A POKéMON that was recovered from a fossil. It uses the eyes on its back while hiding on the sea floor.","Rock, Water",0.5,11.5,Shellfish Pokémon,30,80,90,55,45,55
Kabutops,https://pokemondb.net/pokedex/kabutops,https://img.pokemondb.net/artwork/kabutops.jpg,Its sleek shape is perfect for swim­ ming. It slashes prey with its claws and drains the body fluids. A slim and fast swimmer. It slices its prey with its sharp sickles and drinks the body fluids.,"Rock, Water",1.3,40.5,Shellfish Pokémon,60,115,105,65,70,80
Aerodactyl,https://pokemondb.net/pokedex/aerodactyl,https://img.pokemondb.net/artwork/aerodactyl.jpg,"A savage POKéMON that died out in ancient times. It was resurrected using DNA taken from amber. A Pokémon that roamed the skies in the dinosaur era. Its teeth are like saw blades. A ferocious, pre­ historic POKéMON that goes for the enemy's throat with its serrated saw-like fangs.","Rock, Flying",1.8,59.0,Fossil Pokémon,80,105,65,60,75,130
Snorlax,https://pokemondb.net/pokedex/snorlax,https://img.pokemondb.net/artwork/snorlax.jpg,"Very lazy. Just eats and sleeps. As its rotund bulk builds, it becomes steadily more slothful.",Normal,2.1,460.0,Sleeping Pokémon,160,110,65,65,110,30
Articuno,https://pokemondb.net/pokedex/articuno,https://img.pokemondb.net/artwork/articuno.jpg,"A legendary bird POKéMON. It freezes water that is contained in winter air and makes it snow. A legendary bird POKéMON that is said to appear to doomed people who are lost in icy mountains. The magnificent, seemingly translu­ cent wings of this legendary bird POKéMON are said to be made of ice.","Ice, Flying",1.7000000000000002,55.400000000000006,Freeze Pokémon,90,85,100,95,125,85
Zapdos,https://pokemondb.net/pokedex/zapdos,https://img.pokemondb.net/artwork/zapdos.jpg,This legendary bird POKéMON is said to appear when the sky turns dark and lightning showers down. A legendary bird POKéMON that is said to appear from clouds while dropping enormous lightning bolts. This legendary bird POKéMON causes savage thunderstorms by flapping its glit­ tering wings. This legendary bird POKéMON is said to appear only when a thun­ dercloud parts into two halves.,"Electric, Flying",1.6,52.6,Electric Pokémon,90,90,85,125,90,100
Moltres,https://pokemondb.net/pokedex/moltres,https://img.pokemondb.net/artwork/moltres.jpg,"Known as the legendary bird of fire. Every flap of its wings creates a dazzling flash of flames. A legendary bird POKéMON. As it flaps its flaming wings, even the night sky will turn red.","Fire, Flying",2.0,60.0,Flame Pokémon,90,100,90,125,85,90
Dratini,https://pokemondb.net/pokedex/dratini,https://img.pokemondb.net/artwork/dratini.jpg,It is born large to start with. It repeatedly sheds its skin as it steadily grows longer. Long considered a mythical POKéMON until recently when a small colony was found living underwater. The existence of this mythical POKéMON was only recently confirmed by a fisherman who caught one.,Dragon,1.8,3.3000000000000003,Dragon Pokémon,41,64,45,50,50,50
Dragonair,https://pokemondb.net/pokedex/dragonair,https://img.pokemondb.net/artwork/dragonair.jpg,"A mystical POKéMON that exudes a gentle aura. Has the ability to change climate conditions. According to a witness, its body was surrounded by a strange aura that gave it a mystical look.",Dragon,4.0,16.5,Dragon Pokémon,61,84,65,70,70,70
Dragonite,https://pokemondb.net/pokedex/dragonite,https://img.pokemondb.net/artwork/dragonite.jpg,"An extremely rarely seen marine POKéMON. Its intelligence is said to match that of humans. It is said that this POKéMON lives somewhere in the sea and that it flies. However, it is only a rumor.","Dragon, Flying",2.2,210.0,Dragon Pokémon,91,134,95,100,100,80
Mewtwo,https://pokemondb.net/pokedex/mewtwo,https://img.pokemondb.net/artwork/mewtwo.jpg,"Because its battle abilities were raised to the ultimate level, it thinks only of de­ feating its foes. Its DNA is almost the same as MEW's. However, its size and disposition are vastly dif­ ferent. It was created by a scientist after years of horrific gene splicing and DNA engineering experiments.",Psychic,2.0,122.0,Genetic Pokémon,106,110,90,154,90,130
Mew,https://pokemondb.net/pokedex/mew,https://img.pokemondb.net/artwork/mew.jpg,"When viewed through a micro­ scope, this POKéMON's short, fine, delicate hair can be seen. So rare that it is still said to be a mirage by many experts. Only a few people have seen it worldwide.",Psychic,0.4,4.0,New Species Pokémon,100,100,100,100,100,100
