video_id,video_title,upload_date,view_count,like_count,comment_count
lNWI7pPsT8M,FORTNITE KAROL I FORTNITE RADEK ZNOWU ATAKUJÄ„,2022-07-19,38,3,3
nQEupGLj_zA,WBITA PLATYNA âœ…,2022-06-02,54,1,1
xrygKlrAeko,Multiversus Polska,2022-05-21,86,2,4
arEE409u5Qw,"REAKCJA NA BATELPAS nr.5 ft. aster, bo0, sselemoh",2022-01-24,153,11,8
3T35vZPepWA,Brawlhalla moments | Kroniki zÅ‚otnikÃ³w,2021-12-17,103,5,4
ZwJXQxN4rSU,Brawlhalla moments | stoicki spokÃ³j i klÄ…twa zariela,2021-11-15,112,4,6
kWRmIMDYYgU,Brawlhalla moments do 1 wina,2021-11-10,56,3,3
-yS_FCcDcCE,Brawlhalla montage ciche granie kox edition,2021-11-05,65,6,6
lWPX6Y3ooVM,pword rad przygody: zemsta kalememnona,2021-10-17,55,8,6
5ayf8BPd8Io,sigowica,2021-10-14,66,8,14
7neI4g7dJDE,do 1 losa,2021-10-12,60,4,9
eENBEpNQbu8,brawlhalla ASMR,2021-10-10,76,8,6
IwRYauG2vAI,League of Draven,2021-10-03,33,3,7
W5l5oLJ3y_w,zaraz platyna,2021-10-01,72,4,3
jmam0Dk9HkA,pword i rad przygody,2021-09-28,66,3,3
PB-gu-CnCCM,mental breakdown,2021-09-19,55,4,3
0kwXsnXSElE,maybe i am sig,2021-09-01,106,6,3
L43XO9Rtd-o,prawie gold wbity,2021-08-25,100,7,3
zQ0mmUAZ2K4,League of vibin,2021-06-27,74,6,4
wbtYwIA7b8E,dawaj pwordzie rankedy,2021-06-01,98,8,4
H_T__lRkWtQ,brawlhalla z pwordem,2021-05-21,113,5,1
7Sv0rNsOqcc,Skuriwel gang strikes again | Albion Online | PVP montage,2021-04-01,97,7,7
kV4FqpFt3DE,Lin Fei oddaje,2021-03-25,43,4,3
NtFnPBopvWc,ğ˜¬ğ˜¢ğ˜ºğ˜¢ ğ˜»ğ˜ªğ˜®ğ˜°ğ˜¸ğ˜¢ ğ˜¤ğ˜»ğ˜¢ğ˜±ğ˜¢ ğ˜©ğ˜¦ğ˜©ğ˜¦,2021-03-14,93,3,0
SueB3IOQYcg,ğš™ğš˜ğš•ğš’ğšœğš‘ğšğš ğš‹ğš›ğšŠğš ğš•ğš‘ğšŠğš•ğš•ğšŠ,2021-01-08,133,9,5
WvpYgw7hwZY,ï½–ï½‰ï½‚ï½‰ï½ï½‡ ï½—ï½‰ï½”ï½ˆ ï½’ï½ï½™ï½ï½ï½,2021-01-02,73,8,6
zpEkLup59l4,brand new brand,2020-12-24,41,3,1
mmE5sBTv1fA,League of Soraka,2020-12-20,85,4,5
4iUtJH7jI7Q,ï½‚ï½’ï½ï½—ï½Œï½ˆï½ï½Œï½Œï½,2020-12-17,167,11,11
0Y1PEwLXsEc,What a 12-level Rayman looks like,2020-12-12,99,8,9
c52lWvkPINo,bajoyayun.rad,2020-11-29,51,8,2
wbSs9YDgOEI,brawlhalla.rad,2020-11-28,94,5,4
Ga2qWd3efaI,onyx husky,2020-11-16,91,8,5
Zmn5-X4fxiM,koji bestest play,2020-11-09,42,4,2
p-ClVLmo-uc,Dont mess with skuriwel gang.rad Albion Online PVP (1.6kk frag)*insaneprofit*wtf*wt*f*wt*wfw*t*f*,2020-11-04,111,5,4
AjnMwV5WuIQ,patapins3.rad,2020-10-28,71,4,2
FltcQ0iI13A,NAJGORSZE MOMENTY Z TURNIEJU Z WIDZAMI B),2020-08-23,82,4,8
-Kf1g14AK0E,TURNIEJ WIDZÃ“W  â¤ B),2020-07-23,128,4,3
T34OP6gWIew,kozackie szachy ğŸ˜,2020-07-04,18,2,1
xxIhRwCkd8I,jest jak jestğŸ˜â›ˆ,2020-07-01,21,2,3
JOp2b5Z1wac,mam wyjebane w jakies szerokie egzaminy ğŸ˜,2020-06-30,32,4,3
letvlidl5yg,Szeroki szach,2020-06-29,20,1,1
4XB8fQyC6UY,Szachy to Szachy tanto,2020-06-28,25,3,1
gStv6vwfgyo,Nieoficjalne mistrzostwa miÄ™dzynarodowe w szachach *prawie wygrane*,2020-06-22,22,1,1
RRJUyHyNd0Y,Zostaje szachistÄ…,2020-06-18,52,3,4
